RACE,DISTANCE,SURFACE,Angles,PROGRAM,PP,Solley4,Top2,HORSE_NAME,AXCIS_ODDS,,,POWER,HI_SPD_SD,Avg Sd,SPEED_L3,CL,PACER,PACER_ALL,DAYS,WODAYSAGO,LAST_WORK,L2Y_S123,R1,R2,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,TRAINNAME,TRAINNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME
5,4.5,D,yRl1lAcRlXm, 8,58,190,4,CHEROKEE CASTLE,12/1,,,58, 70, 63 59, 60  58  62,, 4.4       3.5 10, 4.4  4.1  3.4 10, 47,134 187 196, 3D(FT)CT : 36.6B,13-1-4-5, 47 4.5D 65/ 60: 2-1.5, 75 4.5D 66/ 58: 2-1.0,  4- 0- 2- 2,"CECIL, KIM","LOCKLEAR, JAME"
5,4.5,D,yRlO11lAcRl, 4,55,270,3,CASTLE TOY,15/1,,,53.8, 59, 49 49, 53  58  56,, 2.1       4.1 10, 2.0  2.5  4.4 10, 33, 44 140 162, 3D(FT)CT : 37.8B,11-2-1-2, 33 4.5D 75/ 53: 5-5.0, 75 4.5D 66/ 58: 3-1.1,  4- 0- 1- 0,"RIVERA, JAVIER","OBEDLETTS, KET"
5,4.5,D,yRlC41lJtAcRl, 1,45,130,2,KEEP ON SPURRIN, 5/1,,,59.3, 67, 55 64, 67  47  60,, 4.6       2.3  3, 3.7  2.9  4.1 10, 32, 46 134 148, 3D(FT)CT : 37.2B,11-2-0-5, 32 4.5D 67/ 67: 1-1.0, 67  7 D 63/ 47: 7- 17,  3- 0- 0- 2,"LOPEZ, ANTONIO","PETTY, KRISTY"
5,4.5,D,yRl1lAcRlFb, 5,27,0,2,CHARITABLE ANY,30/1,,,37.5, 60, 41 43, 39  48  30,, 3.1  2.7  6.2  9, 3.0  2.4  6.4 10, 22, 48  63  96, 4D(FT)CT : 48.8Bg,10-1-0-1, 22  5 D 61/ 39: 5-9.6, 38 4.5D 56/ 48: 6-3.8,  6- 1- 1- 0,"NUNEZ, JUAN","PEARSON, MICHA"
5,4.5,D,RlC41lAcRl, 2,14,0,3,DIXIE YODELER,20/1,,,53.2, 66, 54 57, 37  46  57,, 6.3  3.8  4.1 10, 4.9  3.9  5.0 10, 61, 30 188 243, 3D(FT)CT : 38.6B,17-2-4-2, 61 6.5D 60/ 37: 8- 14, 75  7 D 68/ 46: 5- 13,  3- 0- 1- 1,"HO, WESLEY","DAVIS, RUSSELL"
6,6.5,D,yRlBh1lJtAcRl, 9,114,330,11,MOON FALL, 7/5,,,52.1, 49, 47 47, 49  44,, 5.3  6.2  4.7  2, 5.3  6.2  4.7  2, 34, 15  54  63, 3D(MY)CT : 36.4B,2-0-0-1, 34  7 D 66/ 49: 3-8.5, 48 6.5D 54/ 44: 6-8.0,  0- 0- 0- 0,"BOCACHICA, ARN","RUNCO, JEFF"
6,6.5,D,yRl1lJtAcRl, 6,91,440,5,MAKIN' GOLD,15/1L,3,,38.3, 45, 36 45, 45  21  40,, 6.7  8.9  5.6  1, 4.4  8.9  6.0  5, 19,  5  40  61, 3D(FT)CT : 36.0B,5-0-0-0, 19 6.5D 75/ 45: 5- 12, 32 4.5D 63/ 21: 9- 13,  3- 0- 0- 0,"LARROSA, GUSTA","CAMPBELL, MARS"
6,6.5,D,RlC41lAcRl, 1,82,350,7,IRISH FLIGHT,10/1,,,37.3, 51, 37 37, 20  29  46,, 5.8  6.1  5.6  4, 5.8  6.1  5.6  4,158,  2  18  32, 4D(FT)CT : 49.0B,4-0-1-0,158  7 D 56/ 20: 6- 27,182 6.5D 54/ 29: 6- 19,  1- 0- 0- 0,"LOPEZ, ANTONIO","ESPINOSA, VICT"
6,6.5,D,yRl1lJtAcRlFb, 3,77,190,3,RAISE A RUCKUS, 6/1,,,31.3, NA, 25 NA, 11  39,,, 2.7       7.2  2, 25,  4  39  46, 3D(FT)CT : 37.8B,2-0-0-0, 25 4.5D 61/ 11: 8- 17,221 4.5D 52/ 39: 6-5.3,  0- 0- 0- 0,"MONTANO, JOSE","GRAMS, TIMOTHY"
6,6.5,D,yRlGl1lJtAcRl, 8,55,20,3,CHICKERLING,12/1,,,38.3, NA, 36 NA, 36,,, 7.6       7.3  1, 32, 64 145, 3D(GD)HTF: 37.4B,1-0-0-0, 32 4.5D 63/ 36: 8-8.0,,  0- 0- 0- 0,"RIOSCONDE, ALE","ROFE, JEAN"
